fecha;valor
2010-01-01 00:00:00;0,0
2010-01-02 00:00:00;0,0
2010-01-03 00:00:00;28,935184
2010-01-04 00:00:00;143,77138
2010-01-05 00:00:00;195,61058
2010-01-06 00:00:00;188,42952
2010-01-07 00:00:00;180,72748
2010-01-08 00:00:00;174,71445
2010-01-09 00:00:00;167,22113
2010-01-10 00:00:00;185,23178
2010-01-11 00:00:00;156,21582
2010-01-12 00:00:00;150,2934
2010-01-13 00:00:00;146,38097
2010-01-14 00:00:00;151,72371
2010-01-15 00:00:00;140,59119
2010-01-16 00:00:00;133,31523
2010-01-17 00:00:00;122,6393
2010-01-18 00:00:00;117,4755
2010-01-19 00:00:00;116,10706
2010-01-20 00:00:00;112,87308
2010-01-21 00:00:00;114,43664
2010-01-22 00:00:00;106,23193
2010-01-23 00:00:00;109,54918
2010-01-24 00:00:00;97,94701
2010-01-25 00:00:00;93,614395
2010-01-26 00:00:00;89,47582
2010-01-27 00:00:00;85,52249
2010-01-28 00:00:00;81,74601
2010-01-29 00:00:00;84,48333
2010-01-30 00:00:00;83,12199
2010-01-31 00:00:00;90,75011
2010-02-01 00:00:00;85,18848
2010-02-02 00:00:00;83,736595
2010-02-03 00:00:00;72,31847
2010-02-04 00:00:00;69,140564
2010-02-05 00:00:00;72,33697
2010-02-06 00:00:00;63,20252
2010-02-07 00:00:00;61,45172
2010-02-08 00:00:00;62,296623
2010-02-09 00:00:00;60,2716
2010-02-10 00:00:00;61,68036
2010-02-11 00:00:00;63,898163
2010-02-12 00:00:00;86,01372
2010-02-13 00:00:00;56,321877
2010-02-14 00:00:00;56,131588
2010-02-15 00:00:00;53,841007
2010-02-16 00:00:00;55,449646
2010-02-17 00:00:00;54,17512
2010-02-18 00:00:00;102,64122
2010-02-19 00:00:00;49,706997
2010-02-20 00:00:00;49,3892
2010-02-21 00:00:00;49,546486
2010-02-22 00:00:00;55,60953
2010-02-23 00:00:00;47,33002
2010-02-24 00:00:00;54,35134
2010-02-25 00:00:00;56,458237
2010-02-26 00:00:00;55,233833
2010-02-27 00:00:00;43,597923
2010-02-28 00:00:00;40,862255
2010-03-01 00:00:00;39,43874
2010-03-02 00:00:00;40,12298
2010-03-03 00:00:00;41,38636
2010-03-04 00:00:00;41,734093
2010-03-05 00:00:00;43,317223
